gene,log2_fold-change,SE,pvalue,padj
Prlh,9.486643959,0.314187798,2.8239E-200,3.6941E-199
Prok1,7.784508829,0.210529071,2.7908E-299,5.906E-298
Frem3,7.086470581,0.209901135,7.3743E-250,1.2318E-248
Nxph2,6.438493591,0.219371176,2.4057E-189,2.9735E-188
Arhgap36,6.43527008,0.176824733,5.3951E-290,1.0933E-288
Calca,6.434571809,0.224821208,3.6985E-180,4.3692E-179
Npsr1,6.41020636,0.258687885,1.4843E-135,1.327E-134
Bmp3,6.295155696,0.147007814,0,0
Foxb1,5.94785632,0.144457519,0,0
Gpr6,5.646976104,0.170056376,8.6756E-242,1.3794E-240
Tac2,5.455891112,0.214817722,2.6691E-142,2.498E-141
Krt9,5.44522474,0.19145836,6.3368E-178,7.3944E-177
F2rl2,5.266978147,0.182634582,6.9841E-183,8.3538E-182
Galr1,5.238974279,0.13041881,0,0
Rspo2,5.20165042,0.159119612,2.1529E-234,3.3269E-233
Nptx2,5.172788747,0.131459633,0,0
Pou3f1,5.16693293,0.068236156,0,0
Dgkk,5.074636447,0.138476839,5.2791E-294,1.0905E-292
Htr4,5.060092584,0.191349018,4.2423E-154,4.2557E-153
Cbln4,4.977750522,0.147132652,6.7409E-251,1.1333E-249
Drd1,4.967875767,0.165293927,1.8898E-198,2.4457E-197
Irx2,4.842088191,0.158790759,3.1765E-204,4.2347E-203
Rasal1,4.772065625,0.091040327,0,0
Wnt7a,4.735582389,0.155371686,4.9383E-204,6.5736E-203
Hcrtr2,4.615270079,0.149883969,3.3239E-208,4.5446E-207
Syt10,4.611285316,0.093305722,0,0
Htr2c,4.586141599,0.142962517,8.5642E-226,1.2694E-224
Mpped1,4.519466959,0.084611304,0,0
Ntsr2,4.429440235,0.091985224,0,0
Ucp3,4.414063955,0.121934518,6.026E-287,1.1984E-285
Prph,4.365811468,0.1324998,4.2908E-238,6.7511E-237
Shox2,4.357278614,0.075420199,0,0
Nkx6-2,4.334764348,0.089928039,0,0
Cdh22,4.3023842,0.089605245,0,0
Irx1,4.257555358,0.064850503,0,0
Igsf1,4.216085251,0.143444398,6.996E-190,8.6766E-189
Sertm1,4.203379462,0.136851842,3.6092E-207,4.8978E-206
Kcnj16,4.167836257,0.083320416,0,0
Dbx2,4.137920557,0.076184956,0,0
Wnt7b,4.118653429,0.07874586,0,0
Pmfbp1,4.055456078,0.102373576,0,0
Synpr,4.038128774,0.048456797,0,0
Amn,4.031744745,0.091126962,0,0
Dkkl1,4.031079771,0.142532765,5.7909E-176,6.6759E-175
Sall3,4.022837084,0.089594456,0,0
Hs3st4,4.018831111,0.097397304,0,0
Krt77,3.962104912,0.084324573,0,0
Sox21,3.961893197,0.081122781,0,0
Tdrd5,3.929211971,0.16157414,1.2548E-130,1.0798E-129
Rxfp1,3.92693954,0.149117402,7.715E-153,7.6589E-152
Pcdh11x,3.924285285,0.067998294,0,0
C130060K24Rik,3.901084401,0.142205076,1.1143E-165,1.1958E-164
Fam196a,3.875490841,0.068499151,0,0
Cbln1,3.869058515,0.156190435,1.8227E-135,1.6287E-134
Qrfpr,3.865439809,0.140838465,7.7742E-166,8.3524E-165
Necab1,3.844089954,0.061806822,0,0
Hsd11b2,3.824811473,0.139616173,3.1295E-165,3.3464E-164
Stk32b,3.771920068,0.065584385,0,0
Pnoc,3.723911391,0.120648989,3.4526E-209,4.7384E-208
Scn11a,3.708667233,0.109967208,2.4691E-249,4.1168E-248
Mc5r,3.708281584,0.120282732,1.048E-208,1.4351E-207
Irx5,3.707062491,0.050940067,0,0
Aldh3b2,3.700780706,0.134572692,1.7443E-166,1.8841E-165
Wnt2b,3.681790966,0.107031537,2.5988E-259,4.5901E-258
Mfsd2a,3.669841106,0.071706233,0,0
Ido2,3.656611384,0.145021419,2.7928E-140,2.5793E-139
Gabra5,3.643856354,0.065119145,0,0
Bmper,3.587922754,0.077110101,0,0
Lypd1,3.574217692,0.055338815,0,0
Myh15,3.5331846,0.142541977,1.2388E-135,1.1086E-134
Prkg2,3.529257958,0.070831511,0,0
Ndp,3.506043069,0.076592053,0,0
Ebf3,3.498205698,0.063308825,0,0
Itih3,3.467745702,0.048181258,0,0
Ano3,3.441551562,0.110694879,3.2441E-212,4.5171E-211
Agt,3.411778148,0.070141365,0,0
Slc14a1,3.391074871,0.080476208,0,0
Rspo3,3.390435296,0.072326836,0,0
1110032F04Rik,3.389615701,0.091952555,1.8335E-297,3.8442E-296
Cldn10,3.381197935,0.052408272,0,0
Lypd6b,3.369127038,0.082522176,0,0
Tnfaip8l3,3.351462484,0.101655016,2.2616E-238,3.5645E-237
Gcnt4,3.334426201,0.120778725,8.9869E-168,9.8299E-167
Vstm2b,3.308807483,0.058853554,0,0
Prdm13,3.300719061,0.135040378,6.0528E-132,5.266E-131
Ak5,3.295950264,0.054334889,0,0
Prlr,3.288875684,0.093028685,8.9053E-274,1.6635E-272
Gjd2,3.258793676,0.055531789,0,0
Galnt9,3.238854476,0.088621911,1.9986E-292,4.105E-291
Nmbr,3.230910457,0.059556825,0,0
Trhr,3.225407688,0.073621267,0,0
Fut9,3.203205349,0.089331575,1.4061E-281,2.7305E-280
Doc2a,3.189432042,0.048305228,0,0
Nog,3.183113321,0.120982004,1.4492E-152,1.4347E-151
BC035947,3.181636721,0.054454697,0,0
Pglyrp1,3.167459758,0.096772016,5.6306E-235,8.7306E-234
Dkk2,3.165173568,0.078212622,0,0
Ccer2,3.161403353,0.102412162,3.0751E-209,4.2267E-208
Car2,3.15385458,0.07104665,0,0
Nkx2-2,3.143166314,0.084214818,6.9018E-305,1.5008E-303
Htr2a,3.129720446,0.116674334,1.6777E-158,1.7317E-157
Hhatl,3.125912597,0.084254738,2.7339E-301,5.84E-300
Paqr6,3.112025594,0.054504716,0,0
Sema3c,3.103260448,0.06064701,0,0
Postn,3.098188645,0.101437306,7.0276E-205,9.41E-204
Fstl4,3.087510033,0.074093758,0,0
Sstr3,3.087389214,0.084265538,6.8971E-294,1.4199E-292
Crabp1,3.055736829,0.060728534,0,0
Lgi4,3.051616962,0.063031282,0,0
Slc9b2,3.041350021,0.084217078,1.4066E-285,2.776E-284
Htr7,3.032582452,0.0709646,0,0
Gpr37,3.00270933,0.084161085,8.6364E-279,1.6506E-277
Trp63,2.957489058,0.110821796,6.6822E-157,6.8239E-156
Hrh3,2.9494035,0.069180591,0,0
4930539E08Rik,2.922004266,0.060970412,0,0
Gja1,2.91430738,0.057394258,0,0
Gpc3,2.913734062,0.04953755,0,0
Ermn,2.887175845,0.109805164,2.2682E-152,2.2407E-151
Sfrp2,2.884845993,0.097155866,9.4642E-194,1.1975E-192
Tekt5,2.849433374,0.08476738,1.0218E-247,1.6866E-246
Npbwr1,2.83934857,0.076567292,5.271E-301,1.1246E-299
Lor,2.83662891,0.082621293,2.5347E-258,4.4337E-257
Adora2b,2.834250148,0.07169453,0,0
Spag5,2.830830817,0.038409126,0,0
Mobp,2.789594839,0.110223201,2.5687E-141,2.3881E-140
Hapln2,2.780001126,0.101730779,2.0246E-164,2.1561E-163
Kcnab3,2.773387087,0.101286426,4.5395E-165,4.8513E-164
Gpc5,2.732693813,0.040585113,0,0
Galnt6,2.727423433,0.101305635,1.1906E-159,1.2395E-158
Insc,2.721890124,0.095815329,1.6259E-177,1.89E-176
Mag,2.720435982,0.095144774,8.3055E-180,9.7733E-179
Bche,2.714597904,0.080725265,6.6255E-248,1.0966E-246
Rorb,2.710704898,0.052652894,0,0
Rbfox3,2.705745491,0.074087836,5.1902E-292,1.0636E-290
Mog,2.695933503,0.09165444,3.6252E-190,4.5022E-189
Fa2h,2.692701636,0.078809809,7.4554E-256,1.2843E-254
Dlk2,2.683000659,0.072075406,2.6987E-303,5.7988E-302
3110035E14Rik,2.682756748,0.051681223,0,0
Ugt8a,2.681351696,0.08654892,9.7902E-211,1.3569E-209
Slc35d3,2.680320772,0.079583487,1.1595E-248,1.9226E-247
Ptchd4,2.679704751,0.085048756,6.7783E-218,9.7137E-217
Acvr1c,2.67823019,0.067450837,0,0
Acss1,2.674059969,0.042135134,0,0
Vwc2,2.668223042,0.061736614,0,0
Ryr3,2.667282261,0.043839048,0,0
Cdh12,2.666025616,0.078041538,8.9871E-256,1.5453E-254
Pcdh15,2.656615447,0.041123976,0,0
Ltk,2.65518998,0.081302048,6.1011E-234,9.4119E-233
Mme,2.647684029,0.091942657,2.3305E-182,2.782E-181
Slc1a2,2.64688627,0.055491604,0,0
Tmem91,2.645955441,0.041315831,0,0
Adamts2,2.641980152,0.0790952,1.2596E-244,2.0365E-243
Tmem229a,2.635067814,0.045461289,0,0
Stxbp6,2.619562235,0.048602729,0,0
Rimbp3,2.615950361,0.104752135,1.2087E-137,1.0984E-136
Slc39a8,2.605238482,0.060329822,0,0
Mbp,2.60488897,0.093305778,1.6239E-171,1.8235E-170
Cbln2,2.603160173,0.037028066,0,0
Tnfaip6,2.600549431,0.092110684,2.31E-175,2.6512E-174
Serpine2,2.593667608,0.034268767,0,0
Epha5,2.581717196,0.041425961,0,0
Fam196b,2.576993609,0.052379125,0,0
Gal3st1,2.573400203,0.076864966,9.5836E-246,1.5606E-244
Plp1,2.564146215,0.088197705,7.9475E-186,9.6977E-185
Hes5,2.542133289,0.091432124,3.9347E-170,4.375E-169
D7Ertd443e,2.526602123,0.09028653,2.5254E-172,2.8498E-171
Mal,2.521923204,0.072231302,4.4723E-267,8.088E-266
Rab27b,2.521585764,0.04084138,0,0
Opalin,2.521418933,0.090282728,1.2188E-171,1.3694E-170
Acsbg1,2.51126086,0.043507298,0,0
Chrna7,2.502774177,0.070521506,7.1332E-276,1.3408E-274
Rbfox1,2.501939548,0.046997518,0,0
Stk32a,2.501018144,0.052309359,0,0
Oprk1,2.496738417,0.053709109,0,0
Nrgn,2.496286795,0.055270536,0,0
Scd1,2.495193037,0.055093005,0,0
St6galnac5,2.487972495,0.03979945,0,0
Lypd6,2.482881411,0.053095549,0,0
Nwd2,2.478219959,0.067007507,2.0542E-299,4.3522E-298
Rgs14,2.475232314,0.100804176,3.8379E-133,3.3664E-132
Cadps2,2.471628754,0.061854033,0,0
Myrf,2.467338889,0.07908213,1.0754E-213,1.5067E-212
Gfra2,2.457273935,0.033921886,0,0
Ccdc141,2.450998676,0.058630507,0,0
Adcy8,2.450343568,0.036526031,0,0
Grik1,2.449925971,0.049993159,0,0
Myo18b,2.449891225,0.062572233,0,0
Ndst3,2.443194102,0.062173621,0,0
Creg2,2.440826035,0.042959384,0,0
Heyl,2.440811513,0.053619592,0,0
Adcyap1,2.439959202,0.070655541,2.5511E-261,4.5502E-260
Tmem88b,2.438098013,0.083693994,1.45E-186,1.7718E-185
Sall1,2.433985134,0.044497642,0,0
Aspa,2.427685891,0.081224796,2.7776E-196,3.5517E-195
Cntnap5c,2.416920638,0.098023995,3.1407E-134,2.775E-133
Pllp,2.413413969,0.075265506,1.3419E-225,1.9874E-224
Cntnap4,2.412211336,0.038906349,0,0
Atp1a2,2.409938063,0.04178297,0,0
Epha7,2.399136977,0.054937957,0,0
Egfr,2.393365855,0.05534462,0,0
Slitrk2,2.393305616,0.045857868,0,0
Sox10,2.389053982,0.063336958,0,0
Cth,2.378511443,0.083354738,4.336E-179,5.0892E-178
Elfn1,2.369461,0.04597637,0,0
Pou3f3,2.369106226,0.029179633,0,0
Susd4,2.365561298,0.026372759,0,0
Hfe2,2.362976087,0.089323574,3.2719E-154,3.284E-153
Klhl1,2.362089454,0.066548839,6.067E-276,1.1415E-274
Hcrtr1,2.347991276,0.079865505,5.6032E-190,6.954E-189
Grin2b,2.335764357,0.074196509,1.5918E-217,2.2776E-216
Grm5,2.326859178,0.045088395,0,0
Colq,2.319775767,0.058601668,0,0
Nkain2,2.31845534,0.041484432,0,0
Kcnip3,2.318041201,0.035899966,0,0
Olig2,2.310218619,0.049495411,0,0
Slitrk1,2.292376185,0.028687806,0,0
Plk5,2.280173674,0.083880834,1.0182E-162,1.0755E-161
Cables1,2.279713375,0.045273976,0,0
Lgr6,2.272839394,0.050142271,0,0
Mn1,2.267505075,0.059238787,0,0
Slc30a10,2.267270656,0.037371189,0,0
Vamp1,2.25307653,0.088940784,1.4075E-141,1.3099E-140
Anln,2.2480384,0.076069779,6.1316E-192,7.6728E-191
Olig1,2.234461948,0.047108437,0,0
Cd38,2.230711616,0.047532049,0,0
Cabp7,2.222744043,0.074624793,6.0029E-195,7.6327E-194
Mchr1,2.207025019,0.061260488,3.1735E-284,6.2026E-283
Mab21l2,2.206181494,0.029872422,0,0
Gli1,2.205391564,0.060451234,2.1274E-291,4.35E-290
Pip5kl1,2.193748835,0.074212991,4.8602E-192,6.0859E-191
Gjc3,2.19069451,0.081327206,8.1451E-160,8.4897E-159
Apln,2.185379527,0.058366717,8.0394E-307,1.7758E-305
Cpne5,2.183564798,0.039896753,0,0
Ifitm10,2.17880156,0.058719755,2.326E-301,4.9744E-300
Bcas1,2.170282776,0.08373046,3.9766E-148,3.8427E-147
Glra3,2.166162501,0.071398443,3.5016E-202,4.6206E-201
Ankfn1,2.162998128,0.076520046,8.7792E-176,1.0095E-174
Sema3a,2.162377021,0.04630463,0,0
Bcl11a,2.160357701,0.045685477,0,0
Amz1,2.158911612,0.066763746,2.1418E-229,3.2326E-228
Adamts4,2.156906459,0.084557506,1.6003E-143,1.5063E-142
Necab3,2.153304165,0.07060295,2.7044E-204,3.6079E-203
2010300C02Rik,2.150268239,0.043335903,0,0
Pstpip2,2.149790563,0.084871857,1.499E-141,1.3943E-140
Ccne1,2.141474171,0.063007577,3.401E-253,5.7765E-252
Elovl2,2.13431684,0.047063727,0,0
Epha10,2.128560699,0.047982015,0,0
Csmd3,2.122887016,0.044999217,0,0
Htr1b,2.119843578,0.058749747,4.2521E-285,8.3555E-284
Nrarp,2.112601145,0.036885098,0,0
Lhfpl3,2.109800218,0.032937382,0,0
Sst,2.103748844,0.052558745,0,0
Adra1b,2.100524092,0.05501395,0,0
Slc18a2,2.099950136,0.065541937,3.0457E-225,4.4996E-224
Tenm2,2.093460167,0.042458627,0,0
Trpc4,2.082661606,0.042668724,0,0
Exoc3l4,2.082607913,0.052487756,0,0
Pgm5,2.078431252,0.054054486,0,0
Dclk3,2.076247424,0.035931104,0,0
Fibin,2.07502959,0.076179894,2.2714E-163,2.409E-162
Prr18,2.071043951,0.059880296,4.0456E-262,7.237E-261
Ube2ql1,2.067020953,0.038061662,0,0
Arntl2,2.065386703,0.078016959,1.9543E-154,1.9637E-153
Chrm2,2.049659049,0.060431311,3.7198E-252,6.2945E-251
S1pr5,2.046111035,0.055694948,1.8194E-295,3.7797E-294
Tmem114,2.028739118,0.073144379,2.5643E-169,2.8356E-168
Foxo6,2.026819841,0.072937226,5.9653E-170,6.6206E-169
Slc7a10,2.02648299,0.038106058,0,0
Caln1,2.026255268,0.076533649,1.8637E-154,1.8737E-153
Gpr26,2.021514552,0.052537735,0,0
Ephb1,2.020492586,0.029927589,0,0
Hapln4,2.019959704,0.064802199,2.6214E-213,3.6669E-212
Tmem26,2.006047486,0.065177087,5.0967E-208,6.958E-207
L3mbtl1,2.005426265,0.075974214,1.5172E-153,1.5136E-152
Ttpa,1.995568104,0.055003295,3.2395E-288,6.4923E-287
Nectin4,1.994982839,0.072146252,2.6459E-168,2.9028E-167
C1qtnf4,1.992028332,0.055921954,6.4926E-278,1.2331E-276
Smim17,1.988648722,0.035147219,0,0
Col25a1,1.988353191,0.039308292,0,0
Lef1,1.988235604,0.069768208,1.2498E-178,1.465E-177
Kcnj2,1.986687382,0.041236462,0,0
Sorcs1,1.984717109,0.034004069,0,0
Cdh8,1.979171511,0.062696913,1.0385E-218,1.4977E-217
Akap5,1.975520704,0.050523628,0,0
Cacng2,1.973812056,0.047072468,0,0
Ppp1r14a,1.973665187,0.077820903,6.6878E-142,6.2368E-141
Grm1,1.973074742,0.055865977,3.1083E-273,5.7884E-272
Susd5,1.972241783,0.054588561,7.8903E-286,1.5589E-284
Cd83,1.966903852,0.031074668,0,0
Gria3,1.960697789,0.042433839,0,0
Slc30a3,1.949011591,0.055367883,1.9221E-271,3.5575E-270
Sgk1,1.946571282,0.076270304,1.1234E-143,1.0585E-142
Myh7b,1.945597669,0.069248027,1.094E-173,1.2423E-172
Cryab,1.938209588,0.05538846,2.8727E-268,5.2213E-267
Npy,1.934520652,0.071284297,3.4986E-162,3.6826E-161
Slc35f1,1.928966912,0.033130456,0,0
Cldn5,1.922022877,0.060436647,6.0208E-222,8.7737E-221
Shroom2,1.920823359,0.034053066,0,0
Grhl1,1.919006868,0.044937476,0,0
Sorcs2,1.915130188,0.034727368,0,0
Gjb6,1.914475606,0.035008407,0,0
Evi2a,1.910995037,0.069007874,8.6155E-169,9.4922E-168
Slco4c1,1.905122643,0.077131476,1.078E-134,9.5762E-134
Vstm2a,1.903406958,0.037178659,0,0
Tle2,1.900429103,0.075109722,3.0334E-141,2.8187E-140
Camk1g,1.899963985,0.04211196,0,0
Cpne7,1.89586501,0.048274592,0,0
Adamts20,1.895577888,0.051919971,7.8063E-292,1.598E-290
Slitrk4,1.895388941,0.056814788,5.073E-244,8.1513E-243
Cdhr2,1.893338222,0.06601169,6.4238E-181,7.6283E-180
Timp4,1.891678111,0.060895951,7.3588E-212,1.0223E-210
Prr16,1.890738907,0.050288833,0,0
Tmem98,1.890098495,0.06800325,5.0923E-170,5.6551E-169
Eva1a,1.887915286,0.044677233,0,0
Unc13c,1.886883592,0.063454967,2.6475E-194,3.3593E-193
Ctxn2,1.883225435,0.043879437,0,0
Slco1a4,1.882522926,0.046706974,0,0
Rab26,1.879850649,0.048798072,0,0
Il33,1.87349128,0.055806167,4.387E-247,7.2086E-246
Shroom1,1.87203721,0.063798806,2.9503E-189,3.6441E-188
Cpne4,1.867056433,0.033899612,0,0
Abi3bp,1.863828517,0.072667788,4.3806E-145,4.1578E-144
Slc6a9,1.860635006,0.033802067,0,0
Slc27a2,1.860177908,0.063016994,1.6584E-191,2.0737E-190
Cldn11,1.857581197,0.061880975,5.6097E-198,7.2443E-197
Car4,1.849192391,0.067938393,3.9058E-163,4.1351E-162
Kcnh1,1.848946269,0.043887086,0,0
Kcnf1,1.84810388,0.045823859,0,0
Aldh1l2,1.837624936,0.060133384,4.2745E-205,5.7321E-204
Kcns2,1.828764707,0.065139595,2.0041E-173,2.2728E-172
Il1rap,1.824747133,0.054279366,9.2505E-248,1.5283E-246
Bbox1,1.824008202,0.058079696,1.7148E-216,2.4305E-215
Rnd3,1.82341436,0.035144637,0,0
Megf6,1.820836921,0.07247252,2.6845E-139,2.463E-138
Fam43b,1.814801842,0.042608122,0,0
Pde1a,1.813877851,0.038346632,0,0
Asb16,1.812637752,0.059301234,3.4019E-205,4.572E-204
Gpr101,1.81213956,0.04388942,0,0
Ephb3,1.810283053,0.058943786,3.9328E-207,5.3329E-206
Glra2,1.809805182,0.042580351,0,0
Gpr12,1.809412738,0.049841877,1.4476E-288,2.9107E-287
Hhip,1.807859113,0.068009037,1.078E-155,1.0941E-154
Ptchd1,1.792702238,0.071976803,6.3004E-137,5.6942E-136
Adra2a,1.786179313,0.03218237,0,0
Spin2c,1.784809872,0.053706404,3.6274E-242,5.7826E-241
Tchh,1.781646007,0.063149849,4.0519E-175,4.6388E-174
Dlgap2,1.780558692,0.05560555,5.521E-225,8.1301E-224
Sytl2,1.779966481,0.037836661,0,0
Neu4,1.774134597,0.051517808,6.9745E-260,1.2355E-258
E130114P18Rik,1.773088534,0.058872307,2.8565E-199,3.7153E-198
Sh3gl3,1.77241892,0.032988476,0,0
Ckmt1,1.75852834,0.03296065,0,0
Apcdd1,1.75567944,0.058398139,1.4344E-198,1.8576E-197
Slc6a11,1.751634616,0.03079794,0,0
Ubash3b,1.742733034,0.040718635,0,0
Fxyd7,1.740209982,0.046026639,0,0
Stk26,1.739351619,0.040865211,0,0
Phlda3,1.737733627,0.040049221,0,0
Grin2a,1.736207173,0.055473864,5.007E-215,7.0584E-214
Serpina3n,1.734937595,0.036663105,0,0
Far2,1.733623641,0.037890012,0,0
Abhd3,1.731807445,0.029905462,0,0
Hs3st3a1,1.730284451,0.064158966,3.4424E-160,3.6004E-159
Rwdd2a,1.728667935,0.030987034,0,0
Rasgrf2,1.728252234,0.032302065,0,0
Gck,1.722038026,0.055021137,5.0064E-215,7.0584E-214
AW551984,1.71499428,0.030098249,0,0
Nmu,1.713662678,0.065182502,2.4807E-152,2.4479E-151
Calb1,1.710779548,0.045564975,0,0
Htra1,1.708224425,0.033225648,0,0
Calb2,1.697788234,0.043839237,0,0
Klhdc8a,1.693635503,0.043897089,0,0
Irx3,1.688638996,0.042382934,0,0
Eps8,1.686420469,0.030076597,0,0
Cyp2j9,1.683448363,0.040074849,0,0
Glt8d2,1.682180564,0.067448307,2.7215E-137,2.4657E-136
Fign,1.682105069,0.062484104,1.2631E-159,1.3143E-158
Nkain4,1.678923848,0.047157528,1.2835E-277,2.4251E-276
Slc2a5,1.673883284,0.057128795,1.032E-188,1.2704E-187
Slc4a10,1.673053074,0.034280172,0,0
Kcnip4,1.670083713,0.030667441,0,0
Ptger4,1.667187484,0.053981216,1.924E-209,2.6525E-208
Ntrk3,1.666824139,0.037474744,0,0
Sorcs3,1.666409452,0.035332635,0,0
Sphkap,1.665021492,0.038664995,0,0
Kcna4,1.658955259,0.034626631,0,0
C1ql3,1.655917492,0.04105097,0,0
Unc5d,1.655903051,0.04417416,1.5701E-307,3.4809E-306
Scn1a,1.655651331,0.048813139,3.5981E-252,6.0943E-251
Phkg1,1.652422318,0.042465236,0,0
Lrtm2,1.643728695,0.032943634,0,0
Sparc,1.643598764,0.029404705,0,0
Mfsd4a,1.640669089,0.037891856,0,0
Cnp,1.637722611,0.043455444,0,0
Zfp853,1.637596931,0.056639292,8.2583E-184,9.9632E-183
Col19a1,1.636672163,0.065917357,4.3437E-136,3.9005E-135
Atp13a4,1.635618575,0.034441777,0,0
Me3,1.634450034,0.043451187,0,0
Abcd2,1.630253433,0.044610967,2.2385E-292,4.5926E-291
4930452B06Rik,1.628900515,0.052956463,9.2006E-208,1.2542E-206
1500009C09Rik,1.626528071,0.042012046,0,0
Slc22a8,1.624901933,0.057094516,3.6797E-178,4.3021E-177
Faah,1.622032488,0.042392265,0,0
Gal,1.619732374,0.061627577,3.0329E-152,2.9912E-151
Ncan,1.618749831,0.03548063,0,0
Glul,1.601825424,0.027298264,0,0
Cyp2j6,1.599638389,0.044246917,3.394E-286,6.735E-285
Ociad2,1.597475979,0.039062439,0,0
Arhgap24,1.595160124,0.040256252,0,0
Snx22,1.594456139,0.054412157,9.4124E-189,1.1594E-187
Atp7b,1.582988837,0.058588468,8.8934E-161,9.3232E-160
Adra1a,1.580006025,0.062723332,5.1445E-140,4.7439E-139
Vwa5b2,1.571746752,0.053120395,2.108E-192,2.6433E-191
Cnih3,1.568840495,0.047808944,3.6227E-236,5.651E-235
Hs3st3b1,1.568624538,0.043416332,7.7174E-286,1.5264E-284
Ppp3ca,1.557499644,0.031887171,0,0
Cntn2,1.555133001,0.039784738,0,0
Kl,1.550442956,0.062447033,4.4558E-136,3.9953E-135
Fbxo27,1.54792687,0.062551594,3.3895E-135,3.0242E-134
Slc35f2,1.545347387,0.05545995,7.2477E-171,8.1032E-170
Aard,1.543416907,0.039671689,0,0
Atg9b,1.541786069,0.03580523,0,0
Chodl,1.531262228,0.050021938,8.5227E-206,1.1488E-204
Lrrc3b,1.529824524,0.030931941,0,0
Zim1,1.528719051,0.057369538,1.9452E-156,1.982E-155
Sidt1,1.52279245,0.029784262,0,0
Xrcc3,1.520809933,0.055089639,9.4013E-168,1.0277E-166
Scn1b,1.520594317,0.050022816,5.8349E-203,7.7332E-202
Neto1,1.504922207,0.048777395,5.1279E-209,7.0323E-208
Arc,1.5034144,0.060309779,3.6807E-137,3.3316E-136
Kctd8,1.49811189,0.032897731,0,0
Tacr1,1.497980734,0.049918591,7.6081E-198,9.8041E-197
Nat8l,1.496528774,0.044211561,3.7209E-251,6.2671E-250
Gfpt2,1.496181942,0.037065389,0,0
Serpinb1b,1.494963269,0.041893335,6.7576E-279,1.2929E-277
A830018L16Rik,1.494237469,0.058427133,2.9417E-144,2.779E-143
2310022B05Rik,1.489070126,0.03409854,0,0
Fam84a,1.48802241,0.038865628,0,0
Radil,1.487756712,0.043394832,1.3501E-257,2.348E-256
Tyro3,1.486811103,0.034758841,0,0
Hbegf,1.483475976,0.041053969,6.4527E-286,1.2791E-284
Kcnk13,1.481760507,0.050441593,1.1203E-189,1.3857E-188
Tmem191c,1.481238554,0.03902992,0,0
Stum,1.480056598,0.030927703,0,0
Grik2,1.476979242,0.030628098,0,0
Hrasls,1.475126026,0.030314177,0,0
Atp10a,1.474839943,0.053930526,1.1713E-164,1.2495E-163
Cacng3,1.473628666,0.034391067,0,0
Tmeff1,1.465921401,0.036622647,0,0
Dpy19l1,1.464450024,0.021462135,0,0
Map6d1,1.462583778,0.044747118,2.5066E-234,3.8702E-233
Kcnab2,1.46042649,0.041326482,1.4923E-273,2.7847E-272
Inf2,1.460155968,0.041749968,5.6263E-268,1.0206E-266
Nfatc2,1.459340951,0.039480822,4.4557E-299,9.3964E-298
Vstm5,1.459236009,0.046314696,6.9711E-218,9.9822E-217
Shisa6,1.456705893,0.042309549,9.0592E-260,1.6032E-258
Fgf13,1.456386168,0.024571058,0,0
Col16a1,1.455396218,0.053315287,4.4902E-164,4.7762E-163
Arhgef3,1.45309742,0.048781448,5.6027E-195,7.1339E-194
Vcam1,1.450396649,0.052370075,7.9892E-169,8.8076E-168
Adk,1.448078111,0.028906612,0,0
Daam2,1.441997333,0.030221307,0,0
Sema4a,1.438912864,0.035806392,0,0
Klhl4,1.438695253,0.05068644,3.1665E-177,3.6714E-176
Vat1l,1.430208587,0.036174019,0,0
Rapgefl1,1.422223377,0.034026093,0,0
Chd3os,1.421990566,0.026961773,0,0
Slc1a4,1.414932021,0.020122575,0,0
Cnnm1,1.41186689,0.02821962,0,0
Fabp5,1.404632697,0.040118509,1.4732E-268,2.6802E-267
Grm7,1.402945167,0.030590262,0,0
Penk,1.400883635,0.031494738,0,0
Camk2g,1.398885173,0.020120004,0,0
Slc1a1,1.396322184,0.02066144,0,0
Ptpro,1.395567024,0.027381241,0,0
Lxn,1.393928556,0.032578039,0,0
Tppp,1.393600859,0.026800547,0,0
Slc35f3,1.39322938,0.03645099,0,0
Rpgrip1,1.39113119,0.05064647,4.2958E-166,4.6262E-165
Mrap2,1.390957943,0.027847096,0,0
Pls1,1.387836193,0.053383746,5.3052E-149,5.1484E-148
Celf2,1.38589868,0.02931166,0,0
Cdkl1,1.383382314,0.040495019,8.936E-256,1.5379E-254
Magee2,1.382229032,0.033807116,0,0
Lgi3,1.379312576,0.041979925,9.2042E-237,1.4382E-235
Lin7b,1.374365741,0.049896761,5.1949E-167,5.6246E-166
Dnm3,1.371253533,0.035933378,0,0
Mycl,1.371043277,0.034374852,0,0
Atp13a5,1.369084817,0.041945062,1.1127E-233,1.7137E-232
Olfm3,1.365570989,0.050749911,1.7776E-159,1.8475E-158
Ldb2,1.36140164,0.029842011,0,0
Srd5a1,1.354714867,0.043057672,2.8053E-217,3.9981E-216
Sncaip,1.354475416,0.04529582,1.8053E-196,2.3117E-195
Ak4,1.35368883,0.030263068,0,0
Ppp1r16b,1.353599272,0.03530244,0,0
Zfp239,1.352191457,0.026401949,0,0
Egfem1,1.351451076,0.053960168,1.9621E-138,1.7929E-137
Kcnip1,1.345277596,0.031969273,0,0
Shisa2,1.344274811,0.042723098,2.6318E-217,3.7538E-216
Bcl11b,1.343953174,0.052063006,6.1788E-147,5.9203E-146
Lgi2,1.327008426,0.047631905,8.2286E-171,9.1943E-170
Pde8a,1.325938807,0.048390166,2.6685E-165,2.8551E-164
